ra,dec,z,class,zWarning
173.63285,25.609011,0.06996976,GALAXY,0
173.64968,25.49842,0.06984207,GALAXY,0
173.59171,25.421556,0.07869298,GALAXY,0
173.44882,25.40706,0.07134741,GALAXY,0
173.71031,25.530628,0.02351498,GALAXY,0
173.5942,25.332128,0.07881377,GALAXY,0
173.59861,25.404763,0.4310018,GALAXY,0
173.66901,25.559367,0.07159599,GALAXY,0
173.51373,25.477334,2.04282,QSO,0
173.75201,25.393633,0.1322878,GALAXY,0
173.50082,25.528571,0.06696012,GALAXY,0
176.39524,24.875499,0,GALAXY,134
173.88294,24.765528,0.0006531813,STAR,0
173.63218,25.246734,1.932519,QSO,0
173.73683,24.870715,0.1307544,GALAXY,0
173.62474,25.023434,0.8668194,GALAXY,5
173.47651,24.764973,0.06023628,GALAXY,0
173.65733,25.286296,0.04867797,GALAXY,0
173.65634,25.050516,0.1323704,GALAXY,0
173.88497,24.90911,0.4037752,GALAXY,0
173.56624,24.908707,0.06920074,GALAXY,0
173.53517,25.063785,0.08612965,GALAXY,0
173.50971,25.112855,0.3063553,GALAXY,0
173.711,24.9885,0.2340254,GALAXY,0
173.45717,25.309664,-0.0001367591,STAR,0
173.62998,24.962436,0.252064,GALAXY,0
173.67234,24.835879,0.4127111,GALAXY,0
173.58564,25.225985,1.863902,QSO,0
173.40799,25.279039,0.1330683,GALAXY,0
173.66728,24.771813,1.1085E-05,STAR,0
173.61685,24.94774,0.07018461,GALAXY,0
174.14164,25.435101,0.04933831,GALAXY,0
174.11364,25.838209,4.981076E-05,STAR,12
174.1375,25.689453,0.05746376,GALAXY,0
174.24774,25.768669,0.3777239,GALAXY,0
174.15567,25.832762,0.1557158,GALAXY,0
174.12101,25.68517,0.05640299,GALAXY,0
174.13359,25.764108,0.01084969,GALAXY,0
174.19308,25.428876,0.1776157,GALAXY,0
174.34165,25.850179,0.03155262,GALAXY,0
174.12062,25.92218,0.1572034,GALAXY,0
174.11971,25.632833,5.020773,QSO,1
174.29229,25.401185,0.06629196,GALAXY,0
